SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL,Tanimoto_Similarity
O=C(C1CCC(F)(F)C1)N2CCCCC2C3=NC4=CC=CC=C4N3,Z2298439885,333.376,333.376,1.82,-4.626,1,2,48.99,2,https://real.enamine.net/public-enum-files/Z2298439885,0.25675675675675674
O=C(NC1=CNN=C1C=2C=CC=CC2)C=3C=CN=C(C3)NC4CCCC4,Z1549431233,347.415,347.415,3.422,-4.856,3,4,82.7,5,https://real.enamine.net/public-enum-files/Z1549431233,0.25675675675675674
O=C(CC=1C=C(F)C=CC1F)NC=2C=NC=C3C=CC=CC23,Z1530724972,298.287,298.287,3.49,-4.343,1,2,41.99,3,https://real.enamine.net/public-enum-files/Z1530724972,0.25675675675675674
CNC(=O)C=1C=CC(=NN1)NC(=O)C=2C=C(N=C3C=CC=CC23)C=4C=CC=CC4Cl,Z5308955667,417.848,417.848,3.548,-6.577,2,5,96.87,4,https://real.enamine.net/public-enum-files/Z5308955667,0.25675675675675674
O=C(CCC1=NC=2C=CC=NC2N1)N(CCC=3C=CC=CC3)CC=4C=CC=NC4,Z1231784023,385.463,385.463,1.953,-3.456,1,4,74.77,8,https://real.enamine.net/public-enum-files/Z1231784023,0.25675675675675674
O=C(NC1CCCC(C1)C=2C=CC(Cl)=CC2)C3=CC4=CC=CC=C4NC3=O,Z4705085673,380.868,380.868,4.267,-6.613,2,2,58.2,3,https://real.enamine.net/public-enum-files/Z4705085673,0.25675675675675674
CC1=C(NC=2C=CC(C)=CC12)C(=O)NC=3C=C(NN3)C=4C=CC=CN4,Z6823774603,331.372,331.372,3.803,-5.591,3,3,86.46,3,https://real.enamine.net/public-enum-files/Z6823774603,0.25675675675675674
NC(=O)C=1C=CC=2NC(=NC2C1)NC(=O)C3=CSC(=N3)C=4C=CC(Cl)=CC4,Z8424106416,397.84,397.84,3.674,-6.747,3,4,113.76,4,https://real.enamine.net/public-enum-files/Z8424106416,0.25675675675675674
CCS(=O)(=O)C=1C=CC=NC1C(=O)NC=2C=CC=3NN=CC3C2Cl,Z5330395391,364.808,364.808,1.242,-4.13,2,5,104.81,4,https://real.enamine.net/public-enum-files/Z5330395391,0.25675675675675674
CC1(C)CCC=2NC(=O)C(=CC2C1)C(=O)NCC=3C=NC4=CC=CC=C4C3,Z1482319792,361.438,361.438,3.196,-5.181,2,3,71.09,3,https://real.enamine.net/public-enum-files/Z1482319792,0.2564102564102564
